Year,Text
of Ireland, we must create greater unity within the Northern Ireland
community.

In our 1981 conference statement and in Labour's Programme 1982, we set

out in full Labour's policy on Northern Ireland. We will aim to establish an
agreed, devolved administration. In the meantime, we will continue with

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 41 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

direct rule. We will also initiate early discussions between the British
government, the Irish government, the Irish Labour Party, and the trade
unions on both sides of the border, and political representatives of the people
of Northern Ireland, on how best to proceed with our policy of unification by
consent.

Tory policies have been a disaster for the Northern Ireland economy.
Unemployment has soared. The economy is in ruins. Housing and the social
services are in desperate straits. Labour will give new hope to Northern
Ireland. We will create jobs and provide investment. We will use all of the
economic planning powers and institutions set out in this document -
together with a massive injection of public resources - to rebuild the
economy.

We will also act on security and civil rights, along the lines set out in our
1981 statement. We will repeal the Prevention of Terrorism Act and the
Payment of Debt Act and reform the system of Diplock courts. We will
provide equal rights for women, including rights to abortion, and make
progress towards an integrated comprehensive system of education.

Leisure for living

Labour believes that a comprehensive approach is needed, at national and
local levels, to provide services and facilities for leisure.

The arts

A crucial part will be played in this by the arts. Labour's aim is to make the
arts, in their broadest sense, an accepted part of everyday life for the whole
population. We will place special emphasis on their availability to the young,
the handicapped and the retired. Substantial extra funds will be provided,
with priority being given to the regions and to access for those on low
incomes. Local authorities will have a statutory duty to provide adequate arts
and entertainments facilities; and the arts will be zero-rated in respect of
VAT.

We will retain a Minister of the Arts, whose first task will be to undertake a
major survey on the disparities in provision between regions and to produce
proposals for action. The public bodies which support the arts will also be
made more open and accountable, and include more representation from
workers in the arts, local authorities and consumers. The Craft Council will
be strengthened, and regional museums and galleries supported through a
Museums and Galleries Council.

For the film industry, we will establish a British Film Authority, responsible
for the National Film Finance Corporation. This will ensure that revenue
from a levy on ticket sales goes to British film-makers who produce British
films. We will also ensure that the profits from British film-making and
distribution are channelled back into British films - and that the present two-
company monopoly of film distribution in Britain is ended. The new British

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 42 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

Film Authority will be responsible for extending public ownership into film
distribution.

Sport and recreation

Labour will accept responsibility for the provision of a broadly-based leisure
service. We will:

¢ Encourage greater participation in sport and recreation.
¢ Give incentives to voluntary bodies to involve themselves more
widely in the provision of sporting and community facilities.
¢ Encourage local authorities and other owners of facilities to make
them much more available to public use.
¢ Set up an immediate enquiry into the financial basis of sport and
recreation.
© Review the provision of national sporting facilities, so as to
secure a fairer geographical distribution.
o Ensure that the sporting talent of the nation receives sufficient
support to enable them to bring sporting success to Britain.

We will also provide for the wider use of the countryside for recreational
purposes, such as angling and other water-based sports. Angling will be
given additional support, by ensuring wider access to rivers and lakes,
financial assistance to provide a wider ownership of fishing waters,
improvements in respect of conservation, and action to prevent pollution.

The media

Our aims in the media are to safeguard freedom of expression, encourage
diversity and establish greater accountability. For all the media, we will
introduce a statutory right of reply to ensure that individuals can set the
record straight. We will introduce stronger measures to prevent any further
concentration in the media.

For the press, we will encourage diversity by:

¢ Setting up a launch fund to assist new publications.

e Ensuring that all major wholesalers accept any lawful publication, and
arrange for its proper supply and display, subject to a handling charge.

¢ Preventing acquisition of further newspapers by large press chains.

¢ Protecting freedom of expression by prohibiting joint control of the
press, commercial radio and television.

¢ Breaking up major concentrations of press ownership, by setting an
upper limit for the number of major publications in the hands of a
single proprietor or press group.

¢ Replacing the Press Council with a stronger, more representative body.

In broadcasting, we Will aim to make both broadcasting itself, and the

organisations responsible, more accountable and representative - and to
provide greater public access. Our aim is to promote a more wide-ranging

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 43 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

and genuine pluralism in the media, and we set out our prop6sals in Labour's
Programme 1982. We will also seek to introduce a genuinely independent
adjudication of grievances and complaints. The licence fee will be phased
out for pensioners, during the lifetime of the Labour government.

The high standards of British public service broadcasting are threatened by
Tory plans to introduce cable TV on free-market principles. We will regulate
satellite and cable provision and foster the same principles of diversity and
pluralism as conventional broadcasting authorities. To avoid wasteful
duplication, we will entrust the provision of the national cable system to
British Telecom.

Animal protection

The Labour Party was the first major political party to publish a policy
statement, in 1978, on animal protection - Living Without Cruelty; and these
policies are reaffirmed in Labour's Programme 1982. We believe that all
animals - whether in the wild, domesticated or farmed - should be properly
treated.

To achieve our aims we will transform the Farm Animal Welfare Council
into a Standing Royal Commission on Animal Protection. We will also
urgently review the 1876 Cruelty to Animals Act. A high priority will be
given to research into alternatives to using live animals in experiments, and
to restrictions on the use of live animals in experiments - with proper control
and supervision in order to avoid pain.

Hare coursing, fox hunting and all forms of hunting with dogs will be made
illegal. This will not, however, affect shooting and fishing. The use of snares
will also be made illegal.

We will lay down clear conditions on freedom of movement for livestock;
and we will ensure that our legislation meets, at least, the requirements of
the European Convention for the Protection of Animals kept for Farming
Purposes. We will also ban, over a phased period, all extreme livestock
systems and introduce legislation to ensure that animals are slaughtered as
near as possible to the point of production. We will ban the export of live
food animals.

Animals kept in zoos, circuses and safari parks will be included in our
animals protection legislation. Health and safety at work legislation will be
reviewed in order to better protect people employed on such premises.

Britain and the Common Market

Geography and history determine that Britain is part of Europe, and Labour
wants to see Europe safe and prosperous. But the European Economic
Community, which does not even include the whole of Western Europe, was
never devised to suit us, and our experience as a member of it has made it
more difficult for us to deal with our economic and industrial problems. It

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 44 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

has sometimes weakened our ability to achieve the objectives of Labour's
international policy.

The next Labour government, committed to radical, socialist policies for
reviving the British economy, is bound to find continued membership a most
serious obstacle to the fulfilment of those policies. In particular the rules of
the Treaty of Rome are bound to conflict with our strategy for economic
growth and full employment, our proposals on industrial policy and for
increasing trade, and our need to restore exchange controls and to regulate
direct overseas investment. Moreover, by preventing us from buying food
from the best sources of world supply, they would run counter to our plans to
control prices and inflation.

For all these reasons, British withdrawal from the Community is the right
policy for Britain - to be completed well within the lifetime of the
parliament. That is our commitment. But we are also committed to bring
about withdrawal in an amicable and orderly way, so that we do not
prejudice employment or the prospect of increased political and economic
co-operation with the whole of Europe.

We emphasise that our decision to bring about withdrawal in no sense
represents any weakening of our commitment to internationalism and
international co operation. We are not ‘withdrawing from Europe'. We are
seeking to extricate ourselves from the Treaty of Rome and other
Community treaties which place political burdens on Britain. Indeed, we
believe our withdrawal will allow us to pursue a more dynamic and positive
international policy - one which recognises the true political and
geographical spread of international problems and interests. We will also
seek agreement with other European governments - both in the EEC and
outside - on a common strategy for economic expansion.

The process of withdrawal

On taking office we will open preliminary negotiations with the other EEC
member states to establish a timetable for withdrawal; and we will publish
the results of these negotiations in a White Paper. In addition, as soon as
possible after the House assembles, we will introduce a Repeal Bill: first, in
order to amend the 1972 European Communities Act, ending the powers of
the Community in the UK; and second, to provide the necessary powers to
repeal the 1972 Act, when the negotiations on withdrawal are completed.

Following the publication of the White Paper, we will begin the main
negotiations on withdrawal. Later, when appropriate and in the same
parliament, we will use our powers to repeal the 1972 Act and abrogate the
Treaty of Accession - thus breaking all of our formal links with the
Community. Britain will at this point withdraw from the Council of
Ministers and from the European Parliament.

There will need to be a period of transition, to ensure a minimum of
disruption - and to phase in any new agreements we might make with the

Community. This will enable us to make all the necessary changes in our

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 45 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

domestic legislation. Until these changes in UK law have taken place, the
Status quo as regards particular items of EEC legislation will remain. And
this period will, of course, extend beyond the date when we cease, formally,
to be members.

The international dimension

The Labour Party is working to create a democratic socialist society in
Britain, but we realise to achieve this we must enjoy the fullest international
co-operation. There is a real interdependence between nations, and, if Britain
under Labour is not to stand on the sidelines, we must co-operate to survive.
Our foreign policy is a logical extension of our work at home.

A deep crisis now afflicts the world economy. In the developed world,
recession has meant lengthening dole queues and a falling standard of life;
for the peoples of the Third World, recession has added to an already
intolerable burden of poverty. Unlike the Tories, Labour believes that there
is a way out of the crisis, and that we need not accept an international status
quo so manifestly riddled with injustice, inefficiency and waste. Labour will
pursue and win international support for policies designed to stimulate trade,
investment, and growth; and we shall work inside the appropriate institutions
to end the financial chaos which now threatens the stability of so many
countries. There can be no sure prospect of peace in a world wracked by an
enduring economic crisis. Labour's policies will help bring that crisis to an
end.

Labour recognises the urgent need to restore détente and dialogue between
the states and the peoples of the world. We will actively pursue dialogue
with the Soviet Union and China, and will urge the American government to
do so. We will work consistently for peace and disarmament, and devote all
our efforts to pulling the world back from the nuclear abyss. Labour will
dedicate some of the resources currently wasted on armaments to projects
designed to promote both security and human development.

An essential difference between the Labour and the Tory approach is that we
have a foreign policy that will help liberate the peoples of the world from
oppression, want and fear. We seek to find ways in which social and political
progress can be achieved and to identify the role that Britain can play in this
process.

Our objectives cannot be pursued in isolation; we will work with the
international agencies, friendly governments, and with socialist parties and
genuine liberation movements in order to convert these objectives into
concrete achievements.

Disarmament - the international context
The pursuit of peace, development and disarmament is central to our policy.

We wish to strengthen the process of détente, which means the easing of
political as well as military tension between East and West. A third world

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 46 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

war would destroy civilisation, yet the danger of a nuclear holocaust grows
alarmingly.

Labour is determined that Britain should play its full part in the struggle for
peace. Now in 1983, in what is a critical year for peace, we can begin to
influence events by the way we present the imperative case for disarmament.
In government we can carry that influence much further, by example and by
common action with others. We must use unilateral steps taken by Britain to
secure multilateral solutions on the international level. Unilateralism and
multilateralism must go hand ill hand if either is to succeed. It is for this
reason that we are against moves that would disrupt our existing alliances,
but are resolved on measures to enable Britain to pursue a non-nuclear
defence policy.

To achieve our paramount aim - stopping the nuclear arms race itself, and
the other arms races pursued beneath its shadow - we need stronger
international institutions. First and foremost is a United Nations organisation
with real and growing authority. Labour is determined to sustain and fortify
the United Nations. All our recent experience re-emphasises how necessary
it is to have an international Charter against aggression. It is a tragedy that
the 1982 UN Special Session on Disarmament was allowed to disband in
failure and disappointment. We shall work to recall a new session on a more
ambitious and hopeful basis. We will support the commitments of the UN
Special Sessions on Disarmament and the UN Committee on Disarmament.

We shall seek to restore the Final Document on Disarmament, approved by
the 1978 United Nations Special Session, as the long-term objective. But, of
course, as the international tension sharpens, we must pursue other more
immediate aims. Labour has always opposed Soviet deployment of SS20s.
We want to see the Geneva talks on intermediate weapons succeed. Labour
was arguing that they should begin long before President Reagan and Mrs.
Thatcher came round to the idea. It is imperative that the SALT II agreement
is ratified. We shall work for this. We strongly support the reduction of
strategic weapons in the START talks. We will propose urgent action to
make the Non-Proliferation Treaty effective and to keep it effective. The
uncontrolled proliferation of nuclear weapons would enormously increase
the danger to us all.

Following the steps taken by the last Labour government in such fields as
non proliferation and the Mutual and Balanced Force Reduction talks,
Britain must again take a lead in disarmament negotiations.

Defence policy

The overriding task for Britain, as for the rest of the world, is to draw back
from the nuclear abyss. Britain must act on her own account as well as
seeking agreement with other countries on nuclear disarmament.

One immediate step our government must take is to insist on implementing
the recent United Nations call for a freeze on the production, deployment

and testing of nuclear weapons, and for a comprehensive test ban. That the

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 47 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

Tory government should have voted against these propositions in the United
Nations is deplorable, and betrays our country's capacity to play a leading
role as an advocate of world disarmament. Labour's proposals will help to
restore that opportunity.

Labour believes in effective defence through collective security but rejects
the present emphasis on nuclear weapons. Britain and her allies should have
sufficient military strength to discourage external aggression and to defend
themselves should they be attacked. Labour's commitment is to establish a
non-nuclear defence policy for this country. This means the rejection of any
fresh nuclear bases or weapons on British soil or in British waters, and the
removal of all existing nuclear bases and weapons, thus enabling us to make
a direct contribution to an eventually much wider nuclear-free zone in
Europe. However, all this cannot be done at once, and the way we do it must
be designed to assist in the task to which we are also committed - securing
nuclear disarmament agreements with other countries and maintaining co
operation with our allies.

The most pressing objective must be to prevent the deployment here or
elsewhere in Western Europe of Cruise or Pershing missiles. This
deployment would mark a new and dangerous escalation in the nuclear arms
race. It would make the achievement of effective disarmament agreements
covering these and other weapons much more difficult in the future. We will
therefore not permit the siting of Cruise missiles in this country and will
remove any that are already in place.

The next Labour government will cancel the Trident programme. Apart from
the huge, persisting and distorting burden it would impose on our defence
budget and our economy as a whole, it would not offer security but would
rather help to intensify the arms race. We will propose that Britain's Polaris
force be included in the nuclear disarmament negotiations in which Britain
must take part. We will, after consultation, carry through in the lifetime of
the next parliament our non-nuclear defence policy.

Labour believes in collective security. The next Labour government will
maintain its support for NATO, as an instrument of détente no less than of
defence. We wish to see NATO itself develop a non-nuclear strategy. We will
work towards the establishment of a new security system in Europe based on
mutual trust and confidence, and knowledge of the objectives and
capabilities of all sides. The ultimate objective of a satisfactory relationship
in Europe is the mutual and concurrent phasing out of both NATO and the
Warsaw Pact.

We oppose any attempt to expand the role of the alliance into other
continents. We condemn the doctrine that nuclear war can be limited, and the
notion that somehow the West must catch up with a supposed nuclear
superiority in the East. We are opposed to the introduction into Europe of
any new nuclear systems such as the neutron bomb. We oppose, too, the
storage, research and production of chemical and biological weapons, and
call for the withdrawal of all forward stocks of chemical weapons.

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 48 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

Labour will reduce the proportion of the nation's resources devoted to
defence so that the burden we bear will be brought into line with that of the
other major European NATO countries, without increasing the reliance on
nuclear weapons. A Labour government will plan to ensure that savings in
military expenditure do not lead to unemployment for those working in
defence industries. We shall give material support and encouragement to
plans for industrial conversion so that the valuable resources of the defence
industries can be used for the production of useful goods.

The emphasis of our defence priorities in the 1980s and 1990s must be to
create military forces that are clearly equipped and deployed for defensive
purposes, and tailored more to Britain's geography and economic resources.
This will mean maintaining adequate conventional forces, at present
threatened by the extravagant expenditure on Trident.

We are alarmed by the growth of the arms trade. Labour will limit Britain's
arms sales abroad and ban the supply of arms to repressive regimes such as
South Africa, El Salvador, Chile, Argentina and Turkey. We will not supply
arms to countries where the chances of international aggression or internal
repression would be increased. Labour will ensure that all arms sales are
under strict ministerial control, subject to parliamentary accountability.

The Commonwealth and the developing world

We shall continue to work for the peaceful and just settlement of disputes
and the strengthening of international organisations, particularly the
Commonwealth, as well as the United Nations. Labour has always attached a
special significance to the Commonwealth - a unique forum of nations,
cutting across ethnic, cultural and ideological barriers. We will strengthen
Britain's political and material commitment to the Commonwealth.

The future prosperity of Britain, as well as that of other industrialised
countries, is inextricably linked to the future of the developing world. At the
moment some 30 per cent of Britain's manufacturing exports are destined for
Third World countries with which we enjoy a very healthy balance of trade.
If their economies could be stimulated, the gain would be ours as well as
theirs. Countless British jobs have already come about as a consequence of
our trading relationship with the poorer countries. That relationship must be
strengthened and expanded in the interests of working people both in Britain
and overseas.

The war that Labour will wage on poverty in Britain will be extended to the
developing world. A primary objective of the next Labour government's
foreign policy will be to help revive the North-South dialogue. That some
800,000,000 people should be condemned to a life of absolute poverty in the
Third World is an affront to any version of civilised values, as well as a
constant threat to international peace and stability.

Labour sets a high priority on attacking the causes of mass poverty. A
Labour government will reach the UN sponsored aid target of 0.7 per cent of
Gross National Product and work towards a further target of 1.0 per cent. We

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 49 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

will also re-establish the principle that aid must be used in the interests of
the poorest people in the poorest countries and, in our efforts to bring this
about, we will fund as appropriate, both governments and independent
organisations. Labour will set up once again a separate Ministry of Overseas
Development with a cabinet minister.

Labour will plan an expansion of trade with the developing world and will
work to bring about changes in the international trading system that will be
of benefit to poor countries, allowing them to receive stable prices for their
commodity exports and to diversify their production. In trade agreements,
Labour will insist upon workers' rights and will bring in legislation to
control the activities of British-based multinational companies operating
overseas.

Labour believes that, in order to enhance the prospects of the Third World
economies, it will be vital to ensure that organisations such as the World
Bank and the International Monetary Fund receive adequate funding from
the world community, and provide loans in a way that, taking into account
the economic difficulties faced by each developing country, will improve the
condition of their peoples.

There is much Britain can do to lift people out of absolute poverty, and a
Labour Britain will once again speak out in solidarity with the poor and the
oppressed everywhere.

We will ensure that provision for overseas students is based on a major
expansion of the ODA programme for student sponsorship giving preference
to entrants on grounds of origin, income level and availability of courses in
Britain and elsewhere.

The Law of the Sea

Labour welcomes the recently concluded United Nations Conference on the
Law of the Sea and fully supports the UNCLOS proposal for a new
international regime covering every aspect of ocean use. Unlike either the
Tory government or the Reagan administration, Labour will endorse the Law
of the Sea, which we see as a crucial element in the North-South dialogue,
and will ensure that Britain participates actively in the future progress of
UNCLOS.

Near and Middle East

The Labour Party is committed to the promotion of peace, democracy and
socialism in the Middle East, and to the principle of national self-
determination. The Arab-Israeli conflict remains a major element in the
continuing conflict and tension in the region, through not the only one. The
core of the conflict is the struggle between the Israeli and Palestinian peoples
for the realisation of national self-determination.

We shall therefore:

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 50 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

¢ Support the right of all Israelis to live in peace and security in the state
of Israel, within secure internationally recognised borders.

¢ Support the right of Palestinians to self determination, including the
establishment of a Palestinian state.

The suffering of the Lebanese people and their continued occupation by
foreign forces demands our attention, and we shall work for the restoration
of the independence, sovereignty and territorial integrity of the Lebanon, and
play a full part in its reconstruction.

The Turkish dictatorship is of special concern to Britain, given Turkish
membership of NATO and its status in Europe. We deplore the constitution
imposed upon the Turkish people and will work for the restoration of
freedom and democracy. Until this is achieved we shall oppose assistance to
the Turkish junta.

Labour is deeply concerned by the continuing violation of human rights
throughout the Middle East. Labour will do what it can to help those
struggling for freedom, democracy, civil and trade union rights.

We support genuine guarantees for the independent, sovereignty and
territorial integrity of Cyprus, and the pursuit of intercommunal discussions
sponsored by the UN for as long as both communities are committed to
those talks.

Africa

We are totally opposed to apartheid and will unequivocally support its
opponents, giving financial and material assistance to the liberation
movements in South Africa and SWAPO of Namibia. Labour will also work
with our trade union colleagues to assist the non-racial trade unions in. South
Africa.

We will carry through a systematic programme of economic disengagement
from South Africa by supporting comprehensive mandatory sanctions at the
UN and curtailing our economic relations with the regime. The details of our
policy towards Southern Africa are set out in Labour's Programme 1982.

Latin America

Latin America is a continent in crisis. The world recession and severe
financial difficulties have added to the burden of already frail economies.
Democracy is established in very few countries; torture and death are
instruments of control in many areas.

Central America is of particular concern. Treated for decades by the United
States as its backyard, the countries of this region have almost without
exception failed to establish a tradition of representative democracy.
Millions of people have endured a lifetime of oppression and deprivation. In
recent years, the pressure for social change to respond to basic needs has
grown intense, but has met with the firm resistance of the wealthy and the

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 51 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

powerful, invariably backed by Washington. This is true of El Salvador,
Nicaragua and Guatemala. Labour rejects US policy in Central America.
Regrettably, the Tory government has connected Britain with that policy by
its slavish support for everything the Reagan administration says and does.
This applies even in the case of Guatemala, which the US is re-arming, when
it lays claim to Belize, to whose defence we are committed.

Labour will do everything in its power to weaken Latin America's repressive
governments by, for example, withdrawing diplomatic representation,
opposing multilateral loans, banning arms sales and drawing international
attention to human rights violations. Our detailed policy is set out in
Labour's Programme 1982.

Falkland Islands

Mrs. Thatcher's policy of Fortress Falklands is imposing an intolerable
burden both on the British people and on the inhabitants of the Falklands
themselves. The war, which wiser policies could have avoided, has already
cost us £1,000 million. On top of that the Conservative government plans to
spend £600 million a year for the indefinite future on garrisoning the islands
- £1 1/2 million per year for every Falklands family.

With four British servicemen on the islands to every adult male Falklander,
the traditional way of life of this rural community is being destroyed. Yet at
the same time Mrs. Thatcher is allowing British firms to equip warships for
the Argentine dictatorship and is lending money to General Bignone to
spend on arms. A Labour government would not sell arms to any Argentine
government which was hostile to Britain or denied civil rights and
democratic freedoms to its own people. Labour believes that Britain must
restore normal links between the Falklands and the Latin American
mainland, and that the United Nations must be involved in finding a
permanent settlement of the problem.

Asia

Emotional as well as political ties exist between Britain and many of the
countries of Asia. It was the 1945 Labour government which gave
independence to India and Pakistan.

Labour is concerned about the suppression of human and civil rights in
many of the countries of Asia, and we will support every extension of
democracy in the region. A Labour government will end military
involvement with those countries that have repressive regimes.

The Labour Party is concerned that the Tory policy on overseas students'
fees has already affected the ability of students from Asia, as well as
elsewhere, to undertake courses in Britain. Steps will be taken to improve
the position, as laid out in a previous section.

Labour believes in a closer understanding with China, and hopes that China

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 52 of 53

1983 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:26

can become more directly involved in international discussions on peace,
disarmament and the world economy. We will hold talks with China with the
aim of securing a peaceful and prosperous future for the people of Hong
Kong.

Japan is a major power in the world economy. We hope to persuade Japan to
play a more active part in a concerted expansion of the economies of the
industrial nations, and to remove the obstacles that her trade policies now
create. We also hope that Japan will help to bridge the division between
North and South by increasing her aid to the Third World.

Human rights

Labour gives the highest priority to the protection of human dignity, civil
rights, democracy and freedom, which will be reflected in all that a Labour
government does.

We uphold the rights of all nations to self-determination. Accordingly, we
condemn the Soviet invasion of Afghanistan and US support for repressive
regimes in Central America. We warn against all military interventions
contrary to the UN Charter. We condemn violations of human rights
wherever they occur, whether in Poland, Turkey or Nigeria, and whatever
the complexion of the government concerned. Labour will further the cause
of human rights in all international organisations. We will press for
suspension from NATO of any dictatorship.

We will protect the opponents of regimes from harassment by their
government's representatives in Britain. Our policy on refugees will be more
compassionate than that of the Tory government. We will not deport
individuals who would face arrest or death in their own countries.

We will also take into account human rights considerations when giving aid.
Official aid will not be given to governments that persistently violate civil

and trade union rights. Help will instead be given to the victims of
repression.

Political News.co.uk

Copyright © 2001 PoliticalStuff.co.uk . All rights reserved.

 

http://labourmanifesto.com/1983/1983-labour-manifesto.shtml Page 53 of 53

"
1987,"1987 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:27

LabourManifesto.com > 1987 > Manifesto text in a single long file

1987 Labour Party Manifesto

 

Britain will win with Labour

Introduction

By the Leader of the Labour Party

Every election is a time of decision. But this General Election on June 11
faces the British people with choices more sharp than at any time in the past
fifty years.

The choices are between Labour's programme of work for people and Tory
policies of waste of people: between investment in industrial strength, and
acceptance of industrial decline; between a Britain with competitive, modern
industries, and a Britain with a low tech, low paid, low security economy
increasingly dependent upon imports.

The election will decide whether we and our children are to live in a country
that builds high standards of care for all who need treatment for illness,
pensions in retirement, good grounding in education, fair chances to get on;
or in a country where the Conservatives go on running down the vital health,
education and social services of every community, imposing higher charges
and lower standards.

This election will decide whether our country is to be a United Kingdom or a
divided kingdom; one that is brought together by proper provision, prudent
investment and concern for the interests of the whole nation, or one that is
pulled apart by poverty, cuts, increased privilege for the richest and neglect
for the rest.

This election will decide whether we put our resources into the real defence
provided by a modern, well-equipped army, navy and airforce safeguarding
our country an d supporting NATO; or spend those sums on maintaining an
ageing system of nuclear weapons, while buying a new generation of
missiles which cannot give our country effective defence. It will decide
whether Britain is part of the international process of nuclear build down or
ruled by a government uniquely intent upon nuclear build-up.

We already know what a third term for Mrs Thatcher would mean for the
people of Britain.

Under the Tories there have been:

http://labourmanifesto.com/1987/1987-labour-manifesto.shtml Page 1 of 24

1987 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:27

Eight years of record unemployment, relentless industrial closures and
redundancies, of flooding imports and shrunken investment.

Eight years of the highest ever tax burden on the family and the nation as
VAT, National Insurance, rates and fees have all been put up in a shift to
taxes on spending and employment.

Eight years of cuts and closures and charges, of intensified means tests and
reduced services.

Eight years of increased state control, of centralising government of
abolition of rights of representation and negotiation.

Eight years of rising crime, of greater insecurity on the streets and housing
estates and in the home.

Eight years of meanness towards the needy in our country and towards the
wretched of the world.

Eight years of growing division - in health in opportunity. in housing
conditions in work and in income - between regions communities classes.

families, white and black, rich and poor.

The Tories say they are ‘proud of their record'. So proud indeed that they
would want to do more of the same if they were re-elected.

Their plans for a poll tax would penalise millions of families, pensioners and
young people. Their refusal to provide the resources needed for the Health
Service and their plans for imposing further payment and privatisation will
hit everyone in the service and everyone needing to use it.

They would, if they won power again, privatise water, electricity, steel and
other services, and industries built up by public investment over past years.
They want to impose penal increases in rents for private and public tenants.

They are committed to introducing compulsory labour for young
unemployed people.

All this and worse would come with a third term of Tory government.

Britain cannot afford more of that run-down, sell-off and split-up, nor all the
costs and waste that they bring.

Britain does not have to.
Britain can stop the rot - but only by voting Labour.
There is no other way to prevent thirteen years of Thatcherism.

No party other than Labour can possibly win enough seats to form a
government.

The Liberals and SDP know that. Their hope is to profit from confusion. To

http://labourmanifesto.com/1987/1987-labour-manifesto.shtml Page 2 of 24

1987 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:27

divide the non-Conservative vote in such a way as to make them the ‘hook'
in a ‘hung' Parliament and have power far beyond their responsibility.

And, while one of their leaders clearly favours an arrangement to sustain a
Conservative government, the other hasn't the strength to stop him.

That offers no way ahead for a nation that needs to get on with investing for
change, for quality, for confidence in the future.

Proper support for education, strengthened research and development and
long-term, low interest finance for industrial growth are all essential if
Britain is to gain the vitality necessary to outpace competitors who have
been building these assets for years.

They are essential too if we are to generate the wealth needed for the
security, care and opportunity fundamental to the individual freedom of
women and men of all ages and origins. When our country faces the
common pressures on the environment, the common dangers of crime, the
common costs of unemployment, under-investment and under-performance
together, our country has every commonsense reason to meet those
challenges together.

That is democratic socialism in action. And just as a family uses its
combined spirit and resources to overcome crisis, so Britain can once again
make common cause to achieve common good.

Only a Labour government can give that lead. Only we are committed to
such concerted action. Only we believe that the whole nation should win and
can win.

That is why Britain will win, with Labour.

Neil Kinnock
Britain Will Win

Britain is crying out for change. Only a Labour government
can bring it about.

Mending divisions, building new strengths will need determination and
realistic priorities.

Commonsense and the common interest require that the Tory philosophy of
selfishness and short-term gain is replaced by the democratic socialist
philosophy of community and caring, of investment in people and in
production.

We must as a priority tackle the immediate tragedy and waste of

unemployment. We must commit resources to modernising and
strengthening the industries and services that earn Britain a living. We must

http://labourmanifesto.com/1987/1987-labour-manifesto.shtml Page 3 of 24

1987 Labour Party Manifesto - LABOURMANIFESTO.COM 13/06/2024, 13:27

ensure the continuity of expansion that is necessary for a lasting economic
recovery.

That is our strategy.

It begins from the understanding that people are Britain's most precious
resource. It is rooted in the confidence that, with the right skills, the right
equipment and the backing of a government that is committed to
encouraging enterprise and innovation, Britain's people can make our
country more efficient, more competitive and more socially just.

It is a message of hope and confidence - the alternative to the divisive and
dictatorial approach of the Conservatives.

We do not believe that everything could or should be done by government.
But we know, from our own history and from the example set by our
competitors, that national economic success cannot be achieved without
government.

Britain will win with a Labour government that invests to enable people to
use their abilities and to stimulate modern training, research, development,
production and marketing. These are the ingredients of economic vitality,
and the foundations of fairness.

The Priority Programme

For our first two years in government we Will concentrate resources on the
essential tasks of combating unemployment and poverty In the course of that
action, we will strengthen the health, housing, education, social services and
crime-fighting services that are vital to social and economic well-being, and
begin to rebuild our manufacturing industry.

Clearly, all other programmes that require substantial public finance must
take lower priority in terms of timescale and public resources.

The Jobs Programme

